#Teff,Styp,nH,U,dZ,T_H0,T_H+,T_H2
35531,7,1,-3,-0.5,3.906,3.939,3.689
36826,6.5,1,-3,-0.5,3.909,3.949,3.69
38151,6,1,-3,-0.5,3.915,3.964,3.692
40062,5.5,1,-3,-0.5,3.929,3.992,3.695
41540,5,1,-3,-0.5,3.93,3.998,3.699
43419,4,1,-3,-0.5,3.931,4.006,3.708
44616,3,1,-3,-0.5,3.934,4.011,3.717
30488,9.5,1,-2,-0.5,3.926,3.913,3.747
31524,9,1,-2,-0.5,3.933,3.925,3.744
32522,8.5,1,-2,-0.5,3.937,3.936,3.724
33383,8,1,-2,-0.5,3.941,3.946,3.714
34419,7.5,1,-2,-0.5,3.947,3.958,3.714
35531,7,1,-2,-0.5,3.95,3.967,3.702
36826,6.5,1,-2,-0.5,3.952,3.973,3.689
38151,6,1,-2,-0.5,3.956,3.981,3.689
40062,5.5,1,-2,-0.5,3.969,4.005,3.69
41540,5,1,-2,-0.5,3.963,4.012,3.698
43419,4,1,-2,-0.5,3.962,4.021,3.731
44616,3,1,-2,-0.5,3.966,4.029,3.732
30488,9.5,1,-1,-0.5,3.586,3.912,2.713
31524,9,1,-1,-0.5,3.415,3.923,2.504
32522,8.5,1,-1,-0.5,3.359,3.932,2.443
33383,8,1,-1,-0.5,3.551,3.941,2.654
34419,7.5,1,-1,-0.5,3.266,3.949,2.38
35531,7,1,-1,-0.5,3.648,3.955,2.745
36826,6.5,1,-1,-0.5,3.649,3.959,2.72
38151,6,1,-1,-0.5,3.495,3.967,2.519
40062,5.5,1,-1,-0.5,3.316,3.994,2.403
41540,5,1,-1,-0.5,3.356,4.002,2.352
43419,4,1,-1,-0.5,3.519,4.014,2.345
44616,3,1,-1,-0.5,3.567,4.023,2.353
30488,9.5,1.25,-3,-0.5,3.879,3.885,3.707
31524,9,1.25,-3,-0.5,3.885,3.896,3.696
32522,8.5,1.25,-3,-0.5,3.891,3.908,3.69
33383,8,1.25,-3,-0.5,3.897,3.918,3.693
34419,7.5,1.25,-3,-0.5,3.902,3.93,3.685
35531,7,1.25,-3,-0.5,3.906,3.941,3.685
36826,6.5,1.25,-3,-0.5,3.91,3.951,3.686
38151,6,1.25,-3,-0.5,3.915,3.965,3.684
40062,5.5,1.25,-3,-0.5,3.929,3.993,3.684
41540,5,1.25,-3,-0.5,3.93,3.999,3.692
43419,4,1.25,-3,-0.5,3.931,4.007,3.702
44616,3,1.25,-3,-0.5,3.933,4.012,3.705
30488,9.5,1.25,-2,-0.5,3.928,3.916,3.756
31524,9,1.25,-2,-0.5,3.933,3.927,3.744
32522,8.5,1.25,-2,-0.5,3.937,3.938,3.72
33383,8,1.25,-2,-0.5,3.941,3.947,3.708
34419,7.5,1.25,-2,-0.5,3.946,3.959,3.695
35531,7,1.25,-2,-0.5,3.95,3.968,3.692
36826,6.5,1.25,-2,-0.5,3.953,3.974,3.692
38151,6,1.25,-2,-0.5,3.956,3.982,3.691
40062,5.5,1.25,-2,-0.5,3.969,4.006,3.695
41540,5,1.25,-2,-0.5,3.963,4.012,3.695
43419,4,1.25,-2,-0.5,3.961,4.022,3.724
44616,3,1.25,-2,-0.5,3.966,4.029,3.725
30488,9.5,1.25,-1,-0.5,3.931,3.914,3.704
31524,9,1.25,-1,-0.5,3.638,3.924,2.814
32522,8.5,1.25,-1,-0.5,3.621,3.934,2.769
33383,8,1.25,-1,-0.5,3.295,3.942,2.425
34419,7.5,1.25,-1,-0.5,3.451,3.951,2.528
35531,7,1.25,-1,-0.5,3.268,3.956,2.427
36826,6.5,1.25,-1,-0.5,3.326,3.96,2.477
38151,6,1.25,-1,-0.5,3.583,3.968,2.63
40062,5.5,1.25,-1,-0.5,3.957,3.996,3.582
41540,5,1.25,-1,-0.5,3.352,4.004,2.356
43419,4,1.25,-1,-0.5,3.957,4.015,3.562
44616,3,1.25,-1,-0.5,3.647,4.024,2.457
30488,9.5,1.5,-3,-0.5,3.879,3.888,3.698
31524,9,1.5,-3,-0.5,3.886,3.9,3.694
32522,8.5,1.5,-3,-0.5,3.893,3.91,3.691
33383,8,1.5,-3,-0.5,3.897,3.92,3.685
34419,7.5,1.5,-3,-0.5,3.903,3.932,3.686
35531,7,1.5,-3,-0.5,3.907,3.943,3.682
36826,6.5,1.5,-3,-0.5,3.911,3.953,3.681
38151,6,1.5,-3,-0.5,3.915,3.967,3.679
40062,5.5,1.5,-3,-0.5,3.929,3.994,3.684
41540,5,1.5,-3,-0.5,3.929,4,3.688
43419,4,1.5,-3,-0.5,3.93,4.008,3.692
44616,3,1.5,-3,-0.5,3.932,4.013,3.698
30488,9.5,1.5,-2,-0.5,3.928,3.918,3.755
31524,9,1.5,-2,-0.5,3.933,3.929,3.74
32522,8.5,1.5,-2,-0.5,3.938,3.94,3.723
33383,8,1.5,-2,-0.5,3.942,3.949,3.718
34419,7.5,1.5,-2,-0.5,3.946,3.961,3.699
35531,7,1.5,-2,-0.5,3.95,3.969,3.686
36826,6.5,1.5,-2,-0.5,3.953,3.975,3.694
38151,6,1.5,-2,-0.5,3.957,3.983,3.696
40062,5.5,1.5,-2,-0.5,3.969,4.007,3.69
41540,5,1.5,-2,-0.5,3.963,4.013,3.698
43419,4,1.5,-2,-0.5,3.96,4.023,3.709
44616,3,1.5,-2,-0.5,3.966,4.03,3.72
30488,9.5,1.5,-1,-0.5,3.928,3.916,3.693
31524,9,1.5,-1,-0.5,3.348,3.926,2.499
32522,8.5,1.5,-1,-0.5,3.393,3.935,2.533
33383,8,1.5,-1,-0.5,3.486,3.943,2.609
34419,7.5,1.5,-1,-0.5,3.362,3.952,2.515
35531,7,1.5,-1,-0.5,3.637,3.958,2.761
36826,6.5,1.5,-1,-0.5,3.409,3.962,2.565
38151,6,1.5,-1,-0.5,3.921,3.97,3.442
40062,5.5,1.5,-1,-0.5,3.53,3.998,2.589
41540,5,1.5,-1,-0.5,3.386,4.005,2.392
43419,4,1.5,-1,-0.5,3.599,4.017,2.456
44616,3,1.5,-1,-0.5,3.586,4.025,2.403
30488,9.5,1.75,-3,-0.5,3.881,3.892,3.702
31524,9,1.75,-3,-0.5,3.888,3.903,3.696
32522,8.5,1.75,-3,-0.5,3.894,3.913,3.69
33383,8,1.75,-3,-0.5,3.898,3.923,3.681
34419,7.5,1.75,-3,-0.5,3.904,3.935,3.682
35531,7,1.75,-3,-0.5,3.908,3.945,3.678
36826,6.5,1.75,-3,-0.5,3.911,3.955,3.674
38151,6,1.75,-3,-0.5,3.916,3.969,3.679
40062,5.5,1.75,-3,-0.5,3.929,3.996,3.681
41540,5,1.75,-3,-0.5,3.929,4.001,3.683
43419,4,1.75,-3,-0.5,3.93,4.009,3.688
44616,3,1.75,-3,-0.5,3.931,4.014,3.688
30488,9.5,1.75,-2,-0.5,3.929,3.92,3.756
31524,9,1.75,-2,-0.5,3.933,3.931,3.736
32522,8.5,1.75,-2,-0.5,3.938,3.942,3.72
33383,8,1.75,-2,-0.5,3.943,3.951,3.719
34419,7.5,1.75,-2,-0.5,3.946,3.962,3.697
35531,7,1.75,-2,-0.5,3.95,3.971,3.687
36826,6.5,1.75,-2,-0.5,3.953,3.977,3.689
38151,6,1.75,-2,-0.5,3.956,3.985,3.68
40062,5.5,1.75,-2,-0.5,3.968,4.008,3.675
41540,5,1.75,-2,-0.5,3.962,4.015,3.691
43419,4,1.75,-2,-0.5,3.96,4.024,3.717
44616,3,1.75,-2,-0.5,3.964,4.031,3.707
30488,9.5,1.75,-1,-0.5,3.931,3.917,3.708
31524,9,1.75,-1,-0.5,3.427,3.927,2.604
32522,8.5,1.75,-1,-0.5,3.923,3.937,3.612
33383,8,1.75,-1,-0.5,3.605,3.944,2.779
34419,7.5,1.75,-1,-0.5,3.653,3.953,2.818
35531,7,1.75,-1,-0.5,3.609,3.959,2.735
36826,6.5,1.75,-1,-0.5,3.626,3.964,2.744
38151,6,1.75,-1,-0.5,3.399,3.972,2.886
40062,5.5,1.75,-1,-0.5,3.471,4,2.627
41540,5,1.75,-1,-0.5,3.645,4.008,2.688
43419,4,1.75,-1,-0.5,3.643,4.019,2.52
44616,3,1.75,-1,-0.5,3.663,4.027,2.499
30488,9.5,1,-3,0,3.617,3.618,3.612
31524,9,1,-3,0,3.63,3.632,3.619
32522,8.5,1,-3,0,3.644,3.649,3.628
33383,8,1,-3,0,3.652,3.659,3.628
34419,7.5,1,-3,0,3.648,3.663,3.617
35531,7,1,-3,0,3.697,3.684,3.659
36826,6.5,1,-3,0,3.706,3.704,3.658
